id,home_ownership,annual_inc,loan_amnt,term,grade,loan_status
54734,RENT,85000,25000, 36 months,B,Fully Paid
55742,RENT,65000,7000, 36 months,B,Fully Paid
57245,OWN,54000,1200, 36 months,C,Fully Paid
57416,RENT,32000,10800, 36 months,C,Fully Paid
58915,RENT,85000,7500, 36 months,B,Fully Paid
59006,MORTGAGE,80800,3000, 36 months,C,Fully Paid
61390,MORTGAGE,148000,4000, 36 months,A,Fully Paid
61419,RENT,45000,5600, 36 months,D,Charged Off
62102,RENT,54000,3200, 36 months,B,Fully Paid
65426,MORTGAGE,60000,4000, 36 months,B,Charged Off
65640,MORTGAGE,90000,5000, 36 months,C,Fully Paid
66431,RENT,27000,2525, 36 months,B,Fully Paid
66749,MORTGAGE,34000,10625, 36 months,C,Fully Paid
66943,RENT,24000,2800, 60 months,B,Fully Paid
66964,MORTGAGE,138000,7500, 36 months,D,Fully Paid
67503,MORTGAGE,56000,10000, 36 months,A,Fully Paid
68163,MORTGAGE,100000,3000, 36 months,A,Fully Paid
68381,RENT,13200,6625, 36 months,A,Fully Paid
68817,MORTGAGE,46116,10000, 36 months,C,Fully Paid
68926,RENT,37152,2300, 36 months,D,Fully Paid
69001,MORTGAGE,110000,15000, 36 months,A,Fully Paid
69124,MORTGAGE,36000,18000, 36 months,B,Fully Paid
69168,RENT,60000,5000, 36 months,E,Fully Paid
69251,MORTGAGE,75000,6000, 36 months,A,Fully Paid
69550,RENT,46000,11200, 60 months,D,Fully Paid
69828,OWN,50000,15000, 36 months,A,Fully Paid
69924,RENT,100000,10000, 36 months,D,Fully Paid
69990,RENT,125000,15500, 36 months,A,Fully Paid
70348,RENT,78000,9600, 36 months,C,Fully Paid
76597,MORTGAGE,250000,5000, 36 months,B,Fully Paid
84918,MORTGAGE,65000,5000, 36 months,A,Fully Paid
87023,OWN,22000,7500, 36 months,E,Fully Paid
88854,RENT,200000,5000, 36 months,A,Fully Paid
90376,MORTGAGE,200000,5000, 36 months,A,Fully Paid
90395,MORTGAGE,100000,5000, 36 months,A,Fully Paid
90665,RENT,18000,8500, 36 months,C,Fully Paid
90966,MORTGAGE,150000,5000, 36 months,A,Fully Paid
92187,MORTGAGE,110000,2500, 36 months,A,Fully Paid
